ma_san_pham,ten_san_pham,avg_so_sao,total_positive,total_negative,most_popular_positive_word,most_popular_negative_word
308900002,Tinh Chất Chống Nắng Tenamyd Dạng Nước SPF50/PA+++ 70ml,4.764705882352941,19,1,tốt,tệ
309300012,Kem Chống Nắng Cathy Doll Sáng Da SPF50/PA+++ 138ml,5.0,0,0,,
310100003,"Kem Dưỡng Obagi Retinol 1.0% Trẻ Hóa Da, Ngừa Mụn 28g",5.0,0,1,,không_hợp
318900002,Serum Klairs Vitamin C Cho Da Nhạy Cảm 35ml,4.390625,59,8,tốt,không_hợp
318900005,Kem Dưỡng Ẩm Klairs Làm Dịu & Phục Hồi Da Ban Đêm 60g,4.7368421052631575,37,2,tốt,thất_vọng
318900009,"Serum Klairs Cấp Ẩm Cho Da Khô, Nhạy Cảm 80ml",4.523809523809524,19,2,tốt,hạn_chế
318900010,"Mặt Nạ Klairs Dưỡng Ẩm, Làm Dịu Da 25ml",5.0,1,0,thích,
318900011,Nước Hoa Hồng Klairs Dành Cho Da Nhạy Cảm 180ml,4.769230769230769,32,4,tốt,không_hợp
318900012,Nước Hoa Hồng Klairs Không Mùi Cho Da Nhạy Cảm 180ml,4.531914893617022,51,4,tốt,không_thích
318900019,Kem Dưỡng Ẩm Klairs Làm Dịu & Phục Hồi Da Ban Đêm 30ml,4.738095238095238,51,3,tốt,khó_chịu
327500002,"Gel Dưỡng Megaduo Giảm Mụn, Mờ Thâm 15g",4.7272727272727275,25,7,hiệu_quả,chậm
331300002,Sữa Rửa Mặt Curél Dạng Bọt Cấp Ẩm Chuyên Sâu 150ml,5.0,7,0,thích,
331300006,Sữa Dưỡng Da Curél Cấp Ẩm Chuyên Sâu 120ml,5.0,4,0,tốt,
331300017,Sữa Rửa Mặt Curél Dạng Bọt Dành Cho Da Dầu 150ml,5.0,0,0,,
331300019,Gel Dưỡng Da Curél Dành Cho Da Dầu 120ml,5.0,3,1,tốt,không_hợp
331300023,Sữa Chống Nắng Curél Mặt & Toàn Thân Cho Da Khô Nhạy Cảm 60ml,3.96,21,13,tốt,tệ
335100004,Kem Rửa Mặt Oxy Có Hạt Làm Sạch Sâu Giảm Nhờn 100g,5.0,9,0,tốt,
335100011,"Kem Rửa Mặt Oxy Sạch Khuẩn Mụn, Kiểm Soát Nhờn 100g",5.0,1,0,hiệu_quả,
343100024,Kem Chống Nắng B.O.M Nâng Tông Dịu Nhẹ 50ml,4.9,16,2,tốt,khó_chịu
343100028,Nước Cân Bằng B.O.M Từ 8 Loại Trà Làm Dịu & Cấp Ẩm Da 150ml,5.0,0,0,,
343100029,Nước Tẩy Trang B.O.M Từ 8 Loại Trà Làm Sạch Da 500ml,4.8076923076923075,21,3,tốt,không_hợp
343100041,Sữa Rửa Mặt B.O.M Từ 8 Loại Trà Làm Sạch Sâu Da 150ml,4.5,8,1,tốt,thất_bại
343700002,Gel Dưỡng I'm from Dưỡng Ẩm Và Kiểm Soát Dầu 75g,4.25,36,5,tốt,không_hợp
345800001,Nước Hoa Hồng Some By Mi AHA-BHA-PHA Cho Da Mụn 150ml,4.840909090909091,38,2,tốt,chậm
345800002,Serum Some By Mi AHA-BHA-PHA Cho Da Mụn 50ml,4.588235294117647,12,1,tốt,không_phù_hợp
345800003,Kem Dưỡng Some By Mi Hỗ Trợ Giảm Mụn 60g,4.444444444444445,13,5,tốt,không_ổn
345800007,Mặt Nạ Some By Mi Hyaluronic Acid Dưỡng Ẩm Da 25g,5.0,2,0,thích,
345800008,Mặt Nạ Some By Mi Ngọc Trai Dưỡng Sáng Da 25g,5.0,5,0,tốt,
345800009,"Mặt Nạ Some By Mi Tràm Trà Làm Dịu Da, Giảm Mụn 25g",5.0,1,0,thích,
